
#$Filter:op09
#$	0	1	 1
#$	1	op06	 0.251188643150958
#$	2	op09	op09
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:61.2, mW
#$WAVELENGTH:532,nm
#$OBJECT:635, on wires	=	=	=	=
angle	ref	signal	signal_std	filter	Time
56.5	0.153125	0.187740989886	0.0187355835953	0	1510219036.9355693
56.5	0.153125	0.169259615385	0.0225644476306	0	1510219037.70237
56.5	0.1546875	0.168260070332	0.0206805555515	0	1510219038.4715967
56.5	0.1546875	0.162414130714	0.022485196736	0	1510219038.9394119
56.5	0.1546875	0.150659802474	0.0190595671843	0	1510219039.7054582
56.5	0.15625	0.159570245726	0.0205075014857	0	1510219040.4742122
56.5	0.1546875	0.172634293562	0.017358903398	0	1510219040.9420452
56.5	0.1546875	0.1662515006	0.0205347982351	0	1510219041.7082052
56.5	0.1546875	0.16002457265	0.0201261645626	0	1510219042.4785135
56.5	0.1546875	0.156177497633	0.0179115083943	0	1510219042.9348452
56.5	0.15625	0.164317721654	0.0191028873627	0	1510219043.6987202
56.5	0.153125	0.163199497482	0.0211590120405	0	1510219044.4557402
56.5	0.1546875	0.143714124915	0.0201111005311	0	1510219044.9375424
56.5	0.15625	0.140259576613	0.0202293876844	0	1510219045.7036264
56.5	0.1609375	0.144274591924	0.0155190570856	0	1510219046.454446
56.5	0.1546875	0.137741226648	0.0167040958219	0	1510219046.9412084
56.5	0.153125	0.150034054487	0.0154764422162	0	1510219047.7111216
57.0	0.1546875	0.0551236410717	0.00627410284572	0	1510219048.537052
57.0	0.1578125	0.121947165283	0.0102782854577	0	1510219049.0248206
57.0	0.1546875	0.267812928009	0.0408247802334	0	1510219049.8579056
57.5	0.1546875	0.13053546832	0.014353660187	0	1510219050.6336665
58.0	0.153125	0.12506189976	0.0241131526968	0	1510219051.439522
58.0	0.153125	0.12300045018	0.0162628801516	0	1510219051.9444284
58.5	0.1546875	0.129773550725	0.0183230251769	0	1510219052.7114727
59.0	0.15625	0.118082128991	0.0140331430259	0	1510219053.5044088
59.0	0.153125	0.115261759021	0.0130586930107	0	1510219053.9390705
59.5	0.159375	0.0241488821138	0.0611587296258	0	1510219054.7681048
59.5	0.1578125	0.108769061426	0.0133647402065	0	1510219055.5670524
60.0	0.1546875	0.117660010883	0.0129315767769	0	1510219056.4358857
60.0	0.15625	0.114289344718	0.0157648571929	0	1510219056.9388387
60.5	0.1546875	0.111279531787	0.0123752023621	0	1510219057.7052064
60.5	0.1546875	0.11084277461	0.0141750397124	0	1510219058.4870758
61.0	0.153125	0.0958664529915	0.0118282798041	0	1510219058.9395726
61.5	0.15625	0.108500667183	0.0134315118582	0	1510219059.7232835
61.5	0.153125	0.100353578932	0.00914774329853	0	1510219060.5131886
61.5	0.15625	0.0925048703373	0.0154828312788	0	1510219060.935301
62.0	0.15625	0.106156169459	0.0117070504579	0	1510219061.6951325
62.5	0.1578125	0.097963078882	0.0132996903535	0	1510219062.480911
62.5	0.15625	0.100705004296	0.0173051465092	0	1510219062.9388053
63.0	0.1578125	0.0882524038462	0.0131137973024	0	1510219063.7045743
